timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,99,529,249,239,205,3.09,-78.29,16207.58,230.19,3142.30,-1183.25,723.03,-324.48
10,100,529,251,239,205,1.98,-78.10,16160.60,176.88,3164.38,-1119.84,716.88,-335.45
20,100,529,251,240,205,2.74,-78.13,16153.77,202.64,3174.37,-1038.94,667.23,-365.43
30,100,529,249,239,204,3.20,-78.14,16158.68,226.30,3182.25,-1010.05,634.52,-363.06
40,101,529,250,239,205,2.93,-78.16,16147.94,217.39,3194.33,-970.24,596.59,-359.00
50,100,529,251,239,205,3.61,-78.23,16149.35,240.32,3194.02,-906.43,556.76,-349.85
60,101,529,251,239,205,3.59,-78.37,16153.48,244.10,3189.72,-875.81,510.33,-338.86
70,101,529,251,239,205,3.57,-78.41,16165.40,242.90,3180.83,-832.32,482.11,-334.42
80,101,529,250,239,205,3.69,-78.47,16163.73,240.95,3167.59,-786.70,462.20,-328.80
90,101,529,252,239,205,4.11,-78.50,16162.75,251.91,3161.81,-743.47,449.09,-323.16
100,101,529,251,239,205,4.49,-78.53,16155.61,265.71,3158.72,-709.44,427.24,-320.85
110,101,529,253,239,205,4.66,-78.50,16155.23,277.42,3152.58,-675.92,416.33,-316.81
120,101,529,252,239,205,4.91,-78.50,16137.47,283.95,3151.55,-626.78,399.41,-306.67
130,101,529,252,239,204,5.36,-78.49,16134.99,303.76,3152.78,-593.99,389.19,-288.78
140,101,529,252,239,205,5.69,-78.50,16117.84,314.97,3152.14,-553.54,370.63,-268.69
150,102,529,252,240,205,5.83,-78.57,16120.15,321.42,3143.93,-523.01,349.75,-251.46
160,102,529,252,239,205,5.81,-78.60,16116.94,321.95,3134.33,-503.21,333.91,-237.19
170,101,529,251,239,205,5.89,-78.63,16122.10,322.65,3123.42,-485.30,334.17,-231.63
180,101,529,251,239,205,6.07,-78.68,16118.79,326.52,3106.25,-453.34,336.71,-221.20
